Timestamp,Sensor,Data
1719870591140,"L,101.19,30.28,11.24"
1719870591175,"H,29.48,35.42"
1719870591187,"B,0.49,-0.12,9.89,0.06,-0.12,-0.12"
1719870591189,"M,-38.00,37.00,46.00"
1719870591212,"G,163126458,-786486115,0"
1719870591216,"L,101.19,30.28,11.47"
1719870591250,"H,29.45,35.41"
1719870591262,"B,0.45,-0.10,9.88,0.06,-0.24,-0.12"
1719870591264,"M,-38.00,37.00,40.00"
1719870591276,"G,163123268,-786485886,0"
1719870591280,"L,101.20,30.28,10.82"
1719870591315,"H,29.45,35.41"
1719870591327,"B,0.45,-0.10,9.88,0.06,-0.06,-0.06"
1719870591339,"G,163120077,-786485657,0"
1719870591344,"L,101.19,30.28,11.18"
1719870591378,"H,29.48,35.39"
1719870591390,"B,0.46,-0.09,9.90,0.12,-0.12,-0.12"
1719870591392,"M,-38.00,38.00,40.00"
1719870591415,"G,163113697,-786485200,0"
1719870591419,"L,101.19,30.28,11.36"
1719870591454,"H,29.45,35.37"
1719870591466,"B,0.47,-0.09,9.90,0.12,-0.12,-0.12"
1719870591468,"M,-40.00,34.00,46.00"
1719870591480,"G,163110507,-786484971,0"
1719870591484,"L,101.19,30.28,11.30"
1719870591520,"H,29.45,35.37"
1719870591531,"B,0.45,-0.10,9.89,0.06,-0.18,-0.12"
1719870591554,"G,163104127,-786484513,0"
1719870591559,"L,101.19,30.28,11.17"
1719870591593,"H,29.45,35.35"
1719870591605,"B,0.46,-0.11,9.90,0.06,-0.12,-0.06"
1719870591607,"M,-38.00,40.00,39.00"
1719870591619,"G,163100936,-786484285,0"
1719870591624,"L,101.19,30.28,11.22"
1719870591658,"H,29.46,35.33"
1719870591670,"B,0.47,-0.10,9.87,0.12,-0.06,-0.12"
1719870591672,"M,-36.00,37.00,46.00"
1719870591695,"G,163094556,-786483827,0"
1719870591699,"L,101.19,30.28,11.05"
1719870591734,"H,29.45,35.33"
1719870591746,"B,0.46,-0.10,9.89,0.12,0.00,-0.12"
1719870591758,"G,163091366,-786483598,0"
1719870591763,"L,101.19,30.28,11.17"
1719870591797,"H,29.46,35.33"
1719870591809,"B,0.46,-0.11,9.89,0.12,-0.06,-0.18"
1719870591811,"M,-41.00,37.00,40.00"
1719870591823,"G,163088176,-786483369,0"
1719870591827,"L,101.20,30.28,11.58"
1719870591863,"H,29.48,35.33"
1719870591874,"B,0.46,-0.11,9.89,0.06,-0.12,-0.12"
1719870591876,"M,-38.00,39.00,42.00"
1719870591898,"G,163081795,-786482912,0"
1719870591903,"L,101.19,30.28,11.21"
1719870591937,"H,29.46,35.33"
1719870591949,"B,0.47,-0.11,9.89,0.00,-0.18,-0.12"
1719870591961,"G,163078605,-786482683,0"
1719870591968,"L,101.19,30.27,11.09"
1719870592000,"H,29.46,35.33"
1719870592012,"B,0.45,-0.09,9.87,0.18,-0.18,-0.12"
1719870592014,"M,-38.00,36.00,43.00"
1719870592026,"G,163075415,-786482454,0"
1719870592030,"L,101.20,30.27,10.75"
1719870592065,"H,29.45,35.33"
1719870592077,"B,0.47,-0.13,9.91,0.18,-0.12,-0.18"
1719870592079,"M,-39.00,36.00,36.00"
1719870592102,"G,163069034,-786481997,0"
1719870592106,"L,101.19,30.28,11.25"
1719870592140,"H,29.45,35.33"
1719870592152,"B,0.46,-0.10,9.91,0.18,-0.18,-0.12"
1719870592154,"M,-38.00,37.00,44.00"
1719870592166,"G,163065844,-786481768,0"
1719870592170,"L,101.18,30.27,11.50"
1719870592205,"H,29.45,35.33"
1719870592217,"B,0.47,-0.08,9.85,-0.06,-0.06,-0.12"
1719870592229,"G,162835911,-786560765,0"
1719870592234,"L,101.19,30.27,11.20"
1719870592268,"H,29.45,35.33"
1719870592280,"B,0.44,-0.11,9.90,0.12,0.06,-0.12"
1719870592282,"M,-38.00,37.00,42.00"
1719870592305,"G,163293331,-786398246,0"
1719870592309,"L,101.19,30.26,11.17"
1719870592344,"H,29.45,35.33"
1719870592356,"B,0.49,-0.12,9.89,0.00,-0.12,-0.12"
1719870592358,"M,-39.00,36.00,40.00"
1719870592370,"G,163290147,-786398023,0"
1719870592374,"L,101.19,30.27,11.14"
1719870592409,"H,29.45,35.33"
1719870592421,"B,0.46,-0.07,9.91,0.06,-0.18,-0.12"
1719870592433,"G,163286962,-786397799,0"
1719870592438,"L,101.19,30.28,11.15"
1719870592472,"H,29.45,35.33"
1719870592484,"B,0.46,-0.11,9.90,0.06,-0.12,-0.18"
1719870592486,"M,-37.00,35.00,36.00"
1719870592498,"G,163054060,-786476483,0"
1719870592502,"L,101.19,30.28,11.04"
1719870592537,"H,29.45,35.33"
1719870592549,"B,0.45,-0.12,9.90,0.12,-0.06,-0.12"
1719870592551,"M,-37.00,38.00,38.00"
1719870592563,"G,163277409,-786397128,0"
1719870592567,"L,101.19,30.28,11.27"
1719870592602,"H,29.46,35.33"
1719870592614,"B,0.48,-0.10,9.90,0.06,-0.12,-0.24"
1719870592626,"G,163274225,-786396905,0"
1719870592631,"L,101.19,30.28,11.76"
1719870592665,"H,29.46,35.33"
1719870592677,"B,0.46,-0.10,9.89,0.06,-0.12,-0.12"
1719870592679,"M,-37.00,36.00,38.00"
1719870592702,"G,163267856,-786396458,0"
1719870592706,"L,101.19,30.28,11.19"
1719870592740,"H,29.45,35.33"
1719870592752,"B,0.47,-0.12,9.90,0.12,-0.06,-0.12"
1719870592754,"M,-37.00,36.00,40.00"
1719870592766,"G,163264671,-786396234,0"
1719870592770,"L,101.19,30.27,11.02"
1719870592805,"H,29.45,35.33"
1719870592817,"B,0.47,-0.10,9.88,0.06,-0.06,-0.18"
1719870592829,"G,163261487,-786396010,0"
1719870592834,"L,101.19,30.27,11.23"
1719870592868,"H,29.46,35.33"
1719870592880,"B,0.46,-0.10,9.88,0.06,-0.06,-0.12"
1719870592882,"M,-38.00,37.00,39.00"
1719870592904,"G,163028540,-786474656,0"
1719870592909,"L,101.19,30.27,11.55"
1719870592943,"H,29.45,35.33"
1719870592955,"B,0.45,-0.11,9.88,0.12,-0.12,-0.12"
1719870592957,"M,-40.00,36.00,42.00"
1719870592969,"G,163025350,-786474428,0"
1719870592974,"L,101.19,30.27,11.24"
1719870593008,"H,29.46,35.33"
1719870593020,"B,0.48,-0.10,9.89,0.12,-0.06,-0.06"
1719870593032,"G,163022160,-786474199,0"
1719870593037,"L,101.19,30.27,11.39"
1719870593071,"H,29.45,35.33"
1719870593083,"B,0.47,-0.09,9.90,0.12,-0.12,-0.12"
1719870593087,"M,-39.00,37.00,44.00"
1719870593111,"G,163015780,-786473743,0"
1719870593112,"L,101.19,30.28,10.87"
1719870593151,"H,29.45,35.33"
1719870593158,"B,0.46,-0.11,9.90,0.06,-0.12,-0.12"
1719870593160,"M,-38.00,38.00,36.00"
1719870593172,"G,163012590,-786473514,0"
1719870593177,"L,101.19,30.28,11.40"
1719870593211,"H,29.46,35.33"
1719870593223,"B,0.47,-0.11,9.89,0.06,-0.12,-0.12"
1719870593246,"G,163006210,-786473058,0"
1719870593251,"L,101.19,30.27,11.18"
1719870593285,"H,29.45,35.33"
1719870593297,"B,0.47,-0.11,9.90,0.12,-0.18,-0.12"
1719870593299,"M,-37.00,37.00,40.00"
1719870593311,"G,163003020,-786472829,0"
1719870593315,"L,101.19,30.28,11.25"
1719870593353,"H,29.46,35.33"
1719870593362,"B,0.47,-0.12,9.88,0.12,-0.12,-0.12"
1719870593364,"M,-37.00,38.00,38.00"
1719870593376,"G,162999830,-786472601,0"
1719870593380,"L,101.19,30.27,11.16"
1719870593415,"H,29.46,35.33"
1719870593427,"B,0.46,-0.11,9.89,0.12,-0.18,-0.12"
1719870593450,"G,162993450,-786472144,0"
1719870593454,"L,101.19,30.28,11.05"
1719870593490,"H,29.46,35.35"
1719870593501,"B,0.47,-0.11,9.89,0.06,-0.06,-0.24"
1719870593503,"M,-40.00,38.00,43.00"
1719870593515,"G,162990260,-786471916,0"
1719870593519,"L,101.19,30.28,11.27"
1719870593555,"H,29.45,35.35"
1719870593566,"B,0.46,-0.10,9.88,0.18,-0.12,-0.12"
1719870593568,"M,-39.00,35.00,41.00"
1719870593580,"G,162987070,-786471688,0"
1719870593584,"L,101.19,30.27,11.38"
1719870593620,"H,29.46,35.37"
1719870593631,"B,0.47,-0.13,9.89,0.18,-0.12,-0.06"
1719870593633,"M,-36.00,37.00,42.00"
1719870593655,"G,162980690,-786471231,0"
1719870593660,"L,101.19,30.28,11.34"
1719870593695,"H,29.45,35.37"
1719870593706,"B,0.46,-0.11,9.89,0.18,-0.31,-0.06"
1719870593718,"G,162977500,-786471003,0"
1719870593723,"L,101.19,30.27,11.34"
1719870593758,"H,29.45,35.39"
1719870593769,"B,0.45,-0.11,9.90,0.31,-0.67,-0.18"
1719870593771,"M,-37.00,35.00,38.00"
1719870593793,"G,162971120,-786470547,0"
1719870593798,"L,101.19,30.28,10.92"
1719870593832,"H,29.45,35.39"
1719870593844,"B,0.45,-0.11,9.91,0.18,-0.31,-0.12"
1719870593846,"M,-37.00,36.00,42.00"
1719870593858,"G,162967930,-786470318,0"
1719870593862,"L,101.19,30.27,11.19"
1719870593898,"H,29.45,35.39"
1719870593909,"B,0.45,-0.11,9.87,0.43,-0.92,-0.06"
1719870593921,"G,162964740,-786470090,0"
1719870593926,"L,101.19,30.28,11.06"
1719870593960,"H,29.45,35.41"
1719870593972,"B,0.43,-0.13,9.93,0.18,-0.31,-0.06"
1719870593974,"M,-37.00,35.00,42.00"
1719870593996,"G,162958360,-786469634,0"
1719870594001,"L,101.19,30.27,11.27"
1719870594035,"H,29.46,35.41"
1719870594047,"B,0.45,-0.12,9.98,0.00,0.18,-0.12"
1719870594049,"M,-38.00,36.00,40.00"
1719870594061,"G,162955170,-786469405,0"
1719870594065,"L,101.19,30.27,11.37"
1719870594100,"H,29.45,35.41"
1719870594112,"B,0.48,-0.08,9.85,-0.31,0.79,-0.06"
1719870594124,"G,162951980,-786469177,0"
1719870594129,"L,101.19,30.27,11.23"
1719870594163,"H,29.45,35.42"
1719870594175,"B,0.46,-0.13,9.92,0.12,0.06,-0.18"
1719870594177,"M,-36.00,38.00,43.00"
1719870594200,"G,162945600,-786468721,0"
1719870594204,"L,101.19,30.27,11.39"
1719870594239,"H,29.45,35.42"
1719870594251,"B,0.47,-0.11,9.83,0.37,-0.67,-0.18"
1719870594253,"M,-37.00,37.00,48.00"
1719870594265,"G,162942410,-786468493,0"
1719870594269,"L,101.19,30.27,11.50"
1719870594304,"H,29.45,35.43"
1719870594316,"B,0.47,-0.08,9.87,-0.18,0.24,-0.06"
1719870594328,"G,162939220,-786468264,0"
1719870594333,"L,101.19,30.27,11.17"
1719870594367,"H,29.46,35.45"
1719870594379,"B,0.45,-0.11,9.91,0.18,-0.24,-0.06"
1719870594381,"M,-38.00,37.00,40.00"
1719870594403,"G,162932839,-786467808,0"
1719870594408,"L,101.19,30.27,11.31"
1719870594442,"H,29.45,35.46"
1719870594453,"B,0.45,-0.11,9.89,-0.18,0.55,-0.12"
1719870594456,"M,-37.00,37.00,43.00"
1719870594468,"G,162929649,-786467580,0"
1719870594472,"L,101.19,30.27,11.17"
1719870594507,"H,29.45,35.46"
1719870594518,"B,0.45,-0.12,9.90,-0.06,0.06,-0.06"
1719870594521,"M,-39.00,38.00,46.00"
1719870594533,"G,162926459,-786467352,0"
1719870594537,"L,101.19,30.27,11.24"
1719870594572,"H,29.46,35.48"
1719870594584,"B,0.45,-0.09,9.86,0.06,-0.12,-0.06"
1719870594606,"G,162920079,-786466896,0"
1719870594611,"L,101.19,30.26,11.54"
1719870594645,"H,29.45,35.48"
1719870594656,"B,0.47,-0.11,9.90,0.00,0.00,-0.06"
1719870594659,"M,-37.00,37.00,40.00"
1719870594671,"G,162916889,-786466667,0"
1719870594675,"L,101.19,30.26,10.96"
1719870594710,"H,29.46,35.48"
1719870594722,"B,0.45,-0.11,9.90,0.06,-0.06,-0.12"
1719870594724,"M,-38.00,38.00,42.00"
1719870594746,"G,163159404,-786379602,0"
1719870594751,"L,101.19,30.26,11.65"
1719870594785,"H,29.45,35.49"
1719870594797,"B,0.48,-0.09,9.86,0.06,-0.06,-0.12"
1719870594809,"G,163156220,-786379379,0"
1719870594814,"L,101.19,30.26,11.18"
1719870594848,"H,29.46,35.50"
1719870594859,"B,0.46,-0.10,9.91,0.06,-0.06,-0.06"
1719870594862,"M,-39.00,36.00,42.00"
1719870594874,"G,163153036,-786379156,0"
1719870594878,"L,101.19,30.26,11.09"
1719870594913,"H,29.46,35.50"
1719870594924,"B,0.47,-0.12,9.90,0.06,-0.12,-0.06"
1719870594927,"M,-38.00,36.00,39.00"
1719870594950,"G,163146668,-786378711,0"
1719870594954,"L,101.19,30.26,11.24"
1719870594989,"H,29.45,35.49"
1719870595000,"B,0.46,-0.11,9.89,0.12,-0.24,-0.18"
1719870595013,"G,163143484,-786378488,0"
1719870595018,"L,101.19,30.26,11.26"
1719870595052,"H,29.46,35.50"
1719870595063,"B,0.46,-0.10,9.89,0.06,0.00,-0.18"
1719870595066,"M,-38.00,36.00,40.00"
1719870595078,"G,163140300,-786378265,0"
1719870595082,"L,101.19,30.26,11.70"
1719870595117,"H,29.46,35.50"
1719870595129,"B,0.46,-0.12,9.90,0.12,-0.06,-0.12"
1719870595131,"M,-37.00,34.00,42.00"
1719870595153,"G,162896580,-786460356,0"
1719870595158,"L,101.19,30.26,11.31"
1719870595192,"H,29.45,35.49"
1719870595204,"B,0.45,-0.11,9.87,0.00,-0.12,-0.18"
1719870595216,"G,162893390,-786460128,0"
1719870595221,"L,101.18,30.26,11.71"
1719870595255,"H,29.46,35.50"
1719870595267,"B,0.48,-0.09,9.92,0.12,-0.12,-0.12"
1719870595269,"M,-39.00,36.00,42.00"
1719870595281,"G,162890200,-786459901,0"
1719870595285,"L,101.19,30.26,11.26"
1719870595320,"H,29.46,35.50"
1719870595332,"B,0.46,-0.10,9.88,0.06,-0.24,-0.06"
1719870595334,"M,-38.00,36.00,42.00"
